row_insert_order,PreviousDayDate,Symbol_Input,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,totalCash,totalCashPerShare,ebitda,totalDebt,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,profitMargins,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,trailingPE,forwardPE,symbol,shortName,longName,industry,sector,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,Today_Growth,Calculated_Score,Score_Recommendation,Conservative_Invs_Recom,Conservative_Invs_Reson,Growth_Invs_Recom,Growth_Invs_Reson,Momentum_Invs_Recom,Momentum_Invs_Reson
882632,2026-01-21 19:32:31,7TEC.BO,81,,,,,,86400,2,41.5,40.11,41.9,1.5,3.61,1739836800,0.48540002,3.93,0.61,3250,3250,4788,0.083809994,0.16044001,-47657752,33548000,45.5524,0.0,0.0,403686592,3729544,10878748,0.63447,0.0,10878749,19.916,2.048604,0.122,3.09,,-0.18470585,1.5,1739836800,BSE,EQUITY,51852000,4.733,34046000,0,3535,3535,443852960,40.11,53.8,2.618864,44.5926,6.304,6.463,169483008,,15.606,0.111,0.385,0.35859,0.20087999,0.15977,0.19813,41.58,41.5,40.11,41.9,41.58,13.203883,,7TEC.BO,SAVEN TECHNOLOGIES LTD.,Saven Technologies Limited,Information Technology Services,Technology,40.8,,,,,,none,,-1.88,3.7,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%),Hold,Trading near its 52-week low (bearish momentum)
882633,2026-01-21 19:32:31,A2ZINFRA.BO,6218,,,,,,86400,2,13.51,13.36,14.03,,,1316649600,0.0,,0.109,40447,40447,33014,0.01581,-0.018609999,-219231248,86006000,17.339,0.0,0.0,2982414592,105802574,176119858,0.37048,0.0,176119858,2.693,5.0204234,,0.14,,-0.342723,2.0,1316649600,BSE,EQUITY,43846000,0.267,184408992,912934976,26882,26882,2381140480,12.32,23.25,0.66061735,15.7306,0.236,0.793,3604417024,353.886,21.121,,0.208,0.13999,0.05116,0.04593,0.00711,14.0,13.51,13.36,14.03,14.0,96.571434,,A2ZINFRA.BO,A2Z INFRA ENGINEERING LIMITED,A2Z Infra Engineering Limited,Engineering & Construction,Industrials,13.52,,,,,,none,,-3.43,1.0,Strong Buy,Hold,Low Beta (less volatile than the market),Hold,Strong Revenue Growth (>10%),Hold,Trading near its 52-week low (bearish momentum)
882634,2026-01-21 19:32:31,AAATECH.BO,128,,,,,,86400,2,111.5,106.55,111.5,1.5,1.34,1756339200,0.5461,,0.312,4785,4785,4624,0.05815,0.11717,32173750,33768000,87.9807,0.0,0.0,1193216256,7414942,12826800,0.49848998,0.0,12826800,24.003,4.4390287,0.007,2.75,,0.16458988,1.5,1756339200,BSE,EQUITY,249282000,19.381,34296000,0,10877,10877,1366695552,66.0,136.67,4.59752,97.2686,9.407,9.664,297268000,,23.173,0.0,0.823,0.65985,0.11537,0.14103,0.11853,112.15,111.5,106.55,111.5,112.15,38.745457,,AAATECH.BO,AAA TECHNOLOGIES LIMITED,AAA Technologies Limited,Information Technology Services,Technology,106.55,,,,,,none,,-4.99,2.9,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%),Hold,No strong momentum
882635,2026-01-21 19:32:31,AADHARHFC.BO,4583,,,,,,86400,2,465.05,465.05,471.3,,,,0.0,,,10074,10074,20275,0.0428,0.15477,,-30959599616,484.0875,0.0,0.0,361348530176,105913173,433796312,0.7551,0.0904,434064779,159.38,2.9545739,0.171,22.36,30.71443,0.17611718,,,BSE,EQUITY,17927999488,41.444,,176049897472,33138,33138,204401098752,340.5,547.75,9.982081,486.329,44.51,45.2,20476801024,255.35,47.47,0.169,0.169,0.98103,0.0,0.62948,0.48246,469.8,465.05,465.05,471.3,469.8,21.059927,15.331555,AADHARHFC.BO,Aadhar Housing Finance Limited,,Mortgage Finance,Financial Services,470.9,650.0,600.0,624.375,625.0,1.11111,strong_buy,8,0.23,2.1,Buy,Hold,High Beta (more volatile),Buy,Low Forward P/E (<20) indicates growth potential- Strong Revenue Growth (>10%)- Highly Profitable with margins > 20%,Hold,No strong momentum
882636,2026-01-21 19:32:31,AADIIND.BO,1,,,,,,86400,2,10.6,10.6,10.6,,,1316649600,0.0,,0.034,143,143,20239,,,,,6.09885,0.0,0.0,182700992,6009465,10000000,0.27941,0.0,10000000,-7.44,-1.4247313,,-0.18,,0.9303571,,,BSE,EQUITY,594000,0.057,-1742250,69790000,27535,27535,106000000,4.49,13.43,670.88605,8.4154,,,158000,,0.016,,,1.0,0.0,-11.189871,-2.70253,10.81,10.6,10.6,10.6,10.81,,,AADIIND.BO,AADI INDUSTRIES LTD.,Aadi Industries Limited,Specialty Chemicals,Basic Materials,10.6,,,,,,none,,-1.94,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,None,None,Hold,No strong momentum
882637,2026-01-21 19:32:31,AAIL.BO,358,,,,,,86400,2,99.45,99.45,107.65,0.6,0.62,1757635200,0.1193,1.86,0.878,12431,12431,11433,0.050830003,0.10819,-7960125,203038000,142.1333,0.6,0.0061538466,1842083968,2634289,10788010,0.75088,0.0,10788011,48.614,2.0868473,-0.707,5.03,,-0.26525998,0.6,1757635200,BSE,EQUITY,65758000,6.083,248044000,853867008,12499,12499,1094443648,87.1,204.6,0.30070105,132.298,0.428,1.073,3639640064,162.48,336.854,-0.708,-0.091,0.42321998,0.06815,0.047659997,0.01492,97.5,99.45,99.45,107.65,97.5,20.168985,,AAIL.BO,Akar Auto Industries Limited,Akar Auto Industries Limited,Auto Parts,Consumer Cyclical,101.45,,,,,,none,,4.05,3.0,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),None,None,Hold,Trading near its 52-week low (bearish momentum)
882638,2026-01-21 19:32:31,AANANDALAK.BO,6,,,,,,86400,2,14.0,12.96,14.0,,,,0.0,,-0.153,325,325,1059,0.099630006,,62056376,69480000,16.671438,0.0,0.0,168016352,1073542,3499270,0.6833,0.0,3499271,-49.678,-0.28040582,,11.6,,-0.30126584,,,BSE,EQUITY,185000,0.053,13817000,119872000,1093,1093,48744848,10.7,24.19,2.1416893,16.2516,0.037,0.152,22760000,,6.513,,0.234,0.87843,0.60707,-2.35589,0.51924,13.8,14.0,12.96,14.0,13.8,1.200862,,AANANDALAK.BO,Aananda Lakshmi Spinning Mills,Aananda Lakshmi Spinning Mills Limited,Textile Manufacturing,Consumer Cyclical,13.93,,,,,,none,,0.94,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Strong Revenue Growth (>10%)- Highly Profitable with margins > 20%,Hold,Trading near its 52-week low (bearish momentum)
882639,2026-01-21 19:32:31,AANCHALISP.BO,116,,,,,,86400,2,12.39,12.39,12.39,,,,0.0,,0.715,110,110,86,-0.036,-1.1298001,627124864,-24058000,446.0632,0.0,0.0,1229587,1995918,2833331,0.94967,0.0,2833331,22.591,0.5484485,,-646.81,,-0.9747658,,,BSE,EQUITY,33875000,11.956,-43888000,0,197,197,35104972,7.62,543.0,0.032095652,269.3328,0.416,1.056,1093761024,,509.441,,-0.528,0.05475,-0.04013,0.01126,-0.11887,12.39,12.39,12.39,12.39,12.39,,,AANCHALISP.BO,Aanchal Ispat Limited,Aanchal Ispat Limited,Steel,Basic Materials,12.39,,,,,,none,,0.0,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,None,None,Hold,Trading near its 52-week low (bearish momentum)
882640,2026-01-21 19:32:31,AAREYDRUGS.BO,,,,,,,86400,2,62.09,62.09,65.3,,,1544659200,0.0,,0.523,5006,5006,9987,0.00953,0.0252,-224580496,173315008,68.7326,0.0,0.0,2235205632,12961930,28354303,0.50565,0.0,28354303,53.058,1.225263,-0.359,1.25,,0.26966977,0.1,1544659200,BSE,EQUITY,81901000,2.919,65017000,569603968,11226,11226,1843313408,31.3,100.0,0.43042105,76.4756,0.914,1.795,4282582016,38.267,150.509,-0.368,-0.2,0.02409,0.01518,0.02317,0.00837,62.29,62.09,62.09,65.3,62.29,52.008003,,AAREYDRUGS.BO,AAREY DRUGS & PHARMACEUTICALS,,Drug Manufacturers - Specialty & Generic,Healthcare,65.01,,,,,,none,,4.37,1.0,Strong Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<2) indicates potential for growth,None,None,Hold,No strong momentum
882641,2026-01-21 19:32:31,AARTECH.BO,69,,,,,,86400,2,48.86,47.0,48.86,0.13,0.25,1758585600,0.1344,0.69,0.682,2496,2496,5341,0.0507,0.09066,-49972000,-34667000,57.99465,0.125,0.002512058,1496803584,9014686,31770375,0.72288,0.0,31770375,10.652,4.433909,0.43,0.93,,-0.24879229,0.125,1758585600,BSE,EQUITY,138084992,4.346,41083000,54037000,5452,5452,1500514816,46.81,77.66,4.125217,50.217,2.009,3.246,363742016,15.972,11.419,0.447,0.244,0.55291003,0.11295,0.19267,0.08166,49.76,48.86,47.0,48.86,49.76,50.784946,,AARTECH.BO,Aartech Solonics Limited,Aartech Solonics Limited,Electrical Equipment & Parts,Industrials,47.23,,,,,,none,,-5.08,2.5,Buy,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%),Hold,Trading near its 52-week low (bearish momentum)
882642,2026-01-21 19:32:31,AARTIDRUGS.BO,1284,,,,,,86400,2,370.0,367.55,376.7,1.0,0.27,1738627200,0.046,2.33,0.183,5007,5007,11042,0.06237,0.14491999,-440352256,2288137984,453.1655,1.0,0.0026652452,42586406912,37568559,91270000,0.60928,0.10852,91270000,148.516,2.5185838,0.293,21.72,28.2,-0.09786004,1.0,1738627200,BSE,EQUITY,245400000,2.482,3084973056,5734900224,5257,5257,34139541504,312.5,574.95,1.3784508,415.383,0.951,1.676,24766603264,39.05,284.751,0.194,0.091,0.3575,0.124560006,0.10435,0.08039,375.2,370.0,367.55,376.7,375.2,17.221455,13.264184,AARTIDRUGS.BO,AARTI DRUGS LTD.,Aarti Drugs Limited,Drug Manufacturers - Specialty & Generic,Healthcare,374.05,597.0,597.0,597.0,597.0,,none,1,-0.31,3.7,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Buy,Low Forward P/E (<20) indicates growth potential,Hold,Trading near its 52-week low (bearish momentum)
882643,2026-01-21 19:32:31,AARTIIND.BO,5868,,,,,,86400,2,343.0,338.2,345.7,1.0,0.29,1755475200,0.125,0.31,0.387,41039,41039,104360,0.03086,0.05215,-2077474944,14329299968,407.50323,0.0,0.0,163946872832,206244673,362594369,0.42528,0.21743,362594370,156.811,2.1691718,1.038,7.98,15.96179,-0.2155906,1.0,1755475200,BSE,EQUITY,1690000000,4.64,9937000448,39729999872,112295,112295,123336474624,338.2,494.0,1.6296414,373.305,0.369,0.781,75683201024,69.555,208.631,1.021,0.291,0.32801998,0.1313,0.08901,0.038429998,345.65,343.0,338.2,345.7,345.65,42.625313,21.310266,AARTIIND.BO,AARTI INDUSTRIES LTD.,Aarti Industries Limited,Specialty Chemicals,Basic Materials,340.15,610.0,340.0,458.86365,465.0,2.45455,buy,22,-1.59,2.9,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%),Hold,Trading near its 52-week low (bearish momentum)
882644,2026-01-21 19:32:31,AARTIPHARM.BO,2162,,,,,,86400,2,748.65,745.25,805.0,5.0,0.66,1757894400,0.1891,,-0.348,12684,12684,13045,0.072569996,0.12287,-1936575616,3195335936,819.1238,0.0,0.0,74426466304,48098446,90647294,0.44566002,0.12016,90647294,225.702,3.5196855,-0.489,26.42,,0.17840922,2.5,1757894400,BSE,EQUITY,555561984,6.128,4337249792,6747216896,12397,12397,72010211328,557.2,971.5,3.7779198,736.207,0.672,1.636,19060809728,32.974,210.194,-0.488,-0.087,0.47642,0.22754999,0.119399995,0.1258,752.65,748.65,745.25,805.0,752.65,30.06813,,AARTIPHARM.BO,Aarti Pharmalabs Limited,Aarti Pharmalabs Limited,Drug Manufacturers - Specialty & Generic,Healthcare,794.4,,,,,,none,,5.55,2.6,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),None,None,Hold,No strong momentum
882645,2026-01-21 19:32:31,AARTISURF.BO,374,,,,,,86400,2,472.05,418.1,490.05,1.0,0.22,1757980800,0.0473,,0.393,20674,20674,960,,,,,481.89426,0.0,0.0,5013214208,3777151,8464995,0.55341,0.0,8464995,279.911,1.536024,3.585,21.12,,-0.24110043,1.0,1757980800,BSE,EQUITY,21371000,2.525,532558016,1181929984,2440,2440,3639524608,358.05,651.0,0.45216727,411.912,,,8049067008,49.926,951.89,3.547,0.276,0.16774,0.06616,0.03958,0.02221,455.15,472.05,418.1,490.05,455.15,20.357481,,AARTISURF.BO,Aarti Surfactants Limited,Aarti Surfactants Limited,Specialty Chemicals,Basic Materials,429.95,,,,,,none,,-5.54,3.3,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,Hold,Strong Revenue Growth (>10%),Hold,Trading near its 52-week low (bearish momentum)
882646,2026-01-21 19:32:31,AARVEEDEN.BO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,2.6,Hold,Hold,High Beta (more volatile),None,None,None,None
882647,2026-01-21 19:32:31,AAVAS.BO,7233,,,,,,86400,2,1376.0,1352.0,1400.0,,,,0.0,,0.332,21600,21600,22515,0.033210002,0.13823,,-13708213248,1722.409,0.0,0.0,234479337472,39105177,79179511,0.49745,0.30277002,79179512,591.213,2.3461933,0.108,75.35,102.65001,-0.17854285,,,BSE,EQUITY,19287533568,243.662,,144126410752,64550,64550,109829898240,1352.0,2238.35,7.6963153,1528.223,1138.982,1138.982,14270451712,307.971,180.302,0.101,0.175,0.99156,0.0,0.55015,0.42273998,1385.1,1376.0,1352.0,1400.0,1385.1,18.40876,13.512906,AAVAS.BO,AAVAS Financiers Limited,Aavas Financiers Limited,Mortgage Finance,Financial Services,1387.1,2350.0,1509.0,1901.7368,1900.0,1.94737,buy,19,0.14,2.5,Buy,Hold,Low Beta (less volatile than the market),Buy,Low Forward P/E (<20) indicates growth potential- Strong Revenue Growth (>10%)- Highly Profitable with margins > 20%,Hold,Trading near its 52-week low (bearish momentum)
882648,2026-01-21 19:32:31,ABAN.BO,27,,,,,,86400,2,23.28,21.4,23.28,,,1442188800,0.0,1.13,-0.282,45272,45272,16573,0.027590001,,10647661568,162000000,40.69755,0.0,0.0,162587049984,29493443,58365323,0.49345002,0.0,58600444,-4605.177,-0.0048836344,,-187.92,,-0.6029359,3.6,1442188800,BSE,EQUITY,1491510016,25.557,914000000,162784133120,24608,24608,1317923968,18.05,61.28,0.2920808,27.8816,0.01,0.023,4512189952,,77.318,,-0.617,0.89424,0.20256001,-0.06665,-2.43046,22.18,23.28,21.4,23.28,22.18,,,ABAN.BO,ABAN OFFSHORE LTD.,Aban Offshore Limited,Oil & Gas Drilling,Energy,22.49,,,,,,none,,1.4,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,None,None,Hold,Trading near its 52-week low (bearish momentum)
882649,2026-01-21 19:32:31,ABANSENT.BO,68,,,,,,86400,2,26.73,24.95,27.98,,,1669334400,0.0,,0.686,127584,127584,19481,0.03508,0.09105,78886624,-628148992,31.875,0.0,0.0,3288449536,8508226,69748880,0.864,0.07004,69748880,31.258,0.82314926,-0.056,2.69,,-0.26013327,,,BSE,EQUITY,590489024,8.49,314035008,2025393024,14750,14750,1794638592,23.31,42.72,0.027166577,30.4986,1.179,2.176,66060533760,93.164,946.142,-0.054,1.829,0.0055400003,0.00475,0.0010800001,0.00285,26.65,26.73,24.95,27.98,26.65,9.565056,,ABANSENT.BO,ABANS ENTERPRISES LTD,ABans Enterprises Limited,Capital Markets,Financial Services,25.73,,,,,,none,,-3.45,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Strong Revenue Growth (>10%),Hold,Trading near its 52-week low (bearish momentum)
