row_insert_order,PreviousDayDate,Symbol_Input,industry,sector,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,symbol,shortName,longName,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,Today_Growth,Calculated_Score,Score_Recommendation,Conservative_Invs_Recom,Conservative_Invs_Reson,Growth_Invs_Recom,Growth_Invs_Reson,Momentum_Invs_Recom,Momentum_Invs_Reson,sector_rank,industry_rank
2127,2024-12-15 18:31:55,AADHARHFC.NS,Mortgage Finance,Financial Services,3931.0,,,,,,86400.0,2.0,438.75,438.0,429.4,440.0,438.75,438.0,429.4,440.0,,,,,,,27.06192,16.26535,528854.0,528854.0,963459.0,599516.0,599516.0,188228681728.0,292.0,516.8,10.801166,433.906,420.09085,,,315777351680.0,0.47839,99388879.0,430680000.0,0.76057,0.07495,430680000.0,137.056,3.1888425,0.153,16.15,,0.33176506,,,NSI,EQUITY,18294900736.0,42.7,,146087297024.0,35.121,35.655,17426700288.0,248.777,42.784,0.043319996,0.16816,,-22989899776.0,0.064,0.246,0.98120004,,0.62783,AADHARHFC.NS,AADHAR HOUSING FINANCE L,,437.05,600.0,550.0,572.0,560.0,,none,5.0,-0.39,2.1,Buy,Hold,High Beta (more volatile),Buy,Low Forward P/E (<20) indicates growth potential- Strong Revenue Growth (>10%)- Highly Profitable with margins > 20%,Hold,No strong momentum,13,8
2128,2024-12-15 18:31:55,AAKASH.NS,Oil & Gas Equipment & Services,Energy,1252.0,,,,,,86400.0,2.0,10.79,10.87,10.48,10.9,10.79,10.87,10.48,10.9,,,,,,0.779,1.7645108,,113624.0,113624.0,176996.0,229627.0,229627.0,1077300096.0,8.25,17.15,1.0779792,11.1148,11.7431,,,1279812480.0,0.06368,33216694.0,101250000.0,,,101250000.0,5.78,1.8408304,0.155,6.03,,-0.027927935,,,NSI,EQUITY,78372000.0,0.786,172108832.0,259766000.0,,,999369984.0,44.387,9.921,,,,,0.2,0.421,0.87749,0.17222,0.0627,AAKASH.NS,AAKASH EXPLORATION SER L,Aakash Exploration Services Limited,10.64,,,,,,none,,-1.39,2.9,Hold,Hold,"Low Beta (less volatile than the market)-
 Price-to-Book ratio (<2) indicates potential for growth",Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,6,1
2129,2024-12-15 18:31:55,AAREYDRUGS.NS,Drug Manufacturers - Specialty & Generic,Healthcare,,,,,,,86400.0,2.0,59.8,59.8,59.0,59.8,59.8,59.8,59.0,59.8,,,,,,0.92,26.106195,,5939.0,5939.0,29908.0,15710.0,15710.0,1672903680.0,37.35,74.8,0.35474938,61.2226,54.791,,,1843319168.0,0.01102,13659921.0,28354300.0,0.51126,0.02622,28826900.0,47.327,1.2466457,0.71,2.26,,0.23809528,,,NSI,EQUITY,28900924.0,1.03,42721344.0,313523072.0,,,4715734016.0,23.613,180.526,,,,,0.541,1.491,0.02987,0.00906,0.00561,AAREYDRUGS.NS,AAREY DRUGS & PHARM LTD,Aarey Drugs & Pharmaceuticals Limited,59.0,,,,,,none,,-1.34,2.1,Buy,Hold,"Low Beta (less volatile than the market)-
 Price-to-Book ratio (<2) indicates potential for growth",Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,10,9
2130,2024-12-15 18:31:55,AARON.NS,Specialty Industrial Machinery,Industrials,158.0,,,,,,86400.0,2.0,353.1,355.0,342.05,359.85,353.1,355.0,342.05,359.85,1.0,0.0028,1726531200.0,0.1456,,0.45,50.732944,,16452.0,16452.0,26420.0,28135.0,28135.0,3660907008.0,242.1,375.0,5.291391,293.306,272.91074,,,4063904000.0,0.10429,2956817.0,10473200.0,,,10638100.0,36.317,9.624969,0.52,6.89,,0.21298528,1.0,1726531200.0,NSI,EQUITY,20951000.0,1.978,126670000.0,345280000.0,0.271,1.208,691860992.0,89.772,66.456,0.097720005,0.20387,-243749248.0,75134000.0,0.564,0.306,0.33990002,0.18309,0.1505,AARON.NS,AARON INDUSTRIES LIMITED,Aaron Industries Limited,349.55,,,,,,none,,-1.01,1.3,Strong Buy,Hold,Low Beta (less volatile than the market),Hold,Strong Revenue Growth (>10%),Buy,Trading near its 52-week high (bullish momentum),22,12
2131,2024-12-15 18:31:55,AARTECH.NS,Electrical Equipment & Parts,Industrials,73.0,,,,,,86400.0,2.0,79.56,80.9,77.07,81.08,79.56,80.9,77.07,81.08,0.25,0.0042,1727049600.0,0.3268,,0.579,84.23913,,173279.0,173279.0,239724.0,266615.0,266615.0,2462205952.0,42.416664,87.4,7.4661393,68.5674,69.0255,,,1821903104.0,0.049039997,4764122.0,31770400.0,0.76819,,32697900.0,9.296,8.33692,0.438,0.92,,0.68559325,0.25,1727049600.0,NSI,EQUITY,113700000.0,3.555,-2993250.0,42002000.0,,,329783008.0,14.219,10.461,,,,,0.42,0.037,0.35029998,-0.00908,-0.06713,AARTECH.NS,AARTECH SOLONICS LIMITED,Aartech Solonics Limited,77.5,,,,,,none,,-2.59,1.3,Strong Buy,Hold,Low Beta (less volatile than the market),,,Buy,Trading near its 52-week high (bullish momentum),22,8
2132,2024-12-15 18:31:55,AARTIDRUGS.NS,Drug Manufacturers - Specialty & Generic,Healthcare,1064.0,,,,,,86400.0,2.0,445.15,445.55,441.55,449.45,445.15,445.55,441.55,449.45,1.0,0.0022,1707177600.0,0.060399998,2.33,0.826,26.808577,16.442593,67197.0,67197.0,134018.0,124953.0,124953.0,40519319552.0,431.05,635.0,1.702774,476.868,500.1035,,,46238130176.0,0.06397,35233871.0,91270000.0,0.6184,0.09514,92793600.0,139.958,3.1720233,-0.116,16.56,,-0.096783996,1.0,1707177600.0,NSI,EQUITY,295600000.0,3.239,2867795968.0,5901000192.0,0.914,1.608,23796064256.0,46.181,259.782,0.061680004,0.12241,837400128.0,3081932032.0,-0.106,-0.067,0.33796,0.12052,0.09159,AARTIDRUGS.NS,AARTI DRUGS LTD.,Aarti Drugs Limited,443.95,555.0,555.0,555.0,555.0,,none,1.0,-0.27,1.8,Buy,Hold,Low Beta (less volatile than the market),Buy,Low Forward P/E (<20) indicates growth potential,Hold,Trading near its 52-week low (bearish momentum),13,12
2133,2024-12-15 18:31:55,AARTIIND.NS,Specialty Chemicals,Basic Materials,6100.0,,,,,,86400.0,2.0,437.2,439.6,433.3,442.6,437.2,439.6,433.3,442.6,1.0,0.0023,1721952000.0,0.08140001,0.37,0.719,35.671276,28.323908,860128.0,860128.0,1896715.0,1355621.0,1355621.0,158964711424.0,422.6,769.25,2.2717943,478.673,618.1225,,,193467777024.0,0.06366,202796389.0,362519008.0,0.42952,0.24208,362601984.0,150.729,2.9085312,-0.429,12.29,,-0.27429664,1.0,1721952000.0,NSI,EQUITY,3240000000.0,8.972,10508600320.0,38829998080.0,0.309,0.889,69973196800.0,71.339,192.789,0.041500002,0.08507,-7368462336.0,8858699776.0,-0.424,0.123,0.36303002,0.15018,0.056950003,AARTIIND.NS,AARTI INDUSTRIES LTD,Aarti Industries Limited,438.4,775.0,320.0,504.8095,450.0,3.38095,hold,21.0,0.27,1.4,Strong Buy,Hold,Low Beta (less volatile than the market),Hold,Strong Revenue Growth (>10%),Hold,Trading near its 52-week low (bearish momentum),22,15
2134,2024-12-15 18:31:55,AARTIPHARM.NS,Drug Manufacturers - Specialty & Generic,Healthcare,2095.0,,,,,,86400.0,2.0,608.85,610.0,600.0,615.05,608.85,610.0,600.0,615.05,2.0,0.0033000002,1722384000.0,0.1192,,,23.976143,,416475.0,416475.0,177611.0,209248.0,209248.0,54647476224.0,399.55,721.7,2.7768283,629.246,589.04724,,,58021986304.0,0.1159,44866541.0,90626000.0,0.47564998,0.18083,91733200.0,204.972,2.9418652,0.054,25.15,,0.24369323,1.0,1722384000.0,NSI,EQUITY,995131008.0,10.986,4033265920.0,3864698112.0,0.795,2.014,19679817728.0,20.815,217.207,0.07967,0.12981,-1501003392.0,2112627968.0,0.052,0.041,0.43523,0.20493999,0.15892,AARTIPHARM.NS,AARTI PHARMALABS LIMITED,Aarti Pharmalabs Limited,603.0,,,,,,none,,-0.96,2.1,Buy,Hold,High Beta (more volatile),,,Hold,No strong momentum,10,9
2135,2024-12-15 18:31:55,AARTISURF.NS,Specialty Chemicals,Basic Materials,334.0,,,,,,86400.0,2.0,654.7,669.4,645.1,674.5,654.7,669.4,645.1,674.5,,,1627862400.0,,,1.151,36.259647,,4604.0,4604.0,44407.0,6769.0,6769.0,5570800640.0,548.15,918.0,0.95298123,708.004,678.9233,,,6910230016.0,0.0313,3637919.0,8458500.0,0.58871,0.00017000001,8552160.0,257.303,2.5563245,-0.577,18.14,,0.041935205,2.954095,1627862400.0,NSI,EQUITY,63145000.0,7.452,568038528.0,992084992.0,,,5845656064.0,45.486,717.942,,,,,-0.577,-0.036,0.23754999,0.09717,0.03762,AARTISURF.NS,AARTI SURFACTANTS LIMITED,Aarti Surfactants Limited,657.75,,,,,,none,,0.47,1.4,Strong Buy,Hold,High Beta (more volatile),,,Hold,No strong momentum,22,15
2136,2024-12-15 18:31:55,AARVEEDEN.NS,Textile Manufacturing,Consumer Cyclical,386.0,,,,,,86400.0,2.0,93.75,95.62,95.62,95.62,93.75,95.62,95.62,95.62,,,1346284800.0,,,0.967,12.614777,,21864.0,21864.0,24833.0,14034.0,14034.0,2247528960.0,21.65,95.62,2.5512125,61.76,39.7082,,,,-0.03907,8969461.0,23459800.0,0.75435996,0.02105,23504800.0,7.331,13.0432415,,7.58,,2.0737705,0.5,1346284800.0,NSI,EQUITY,,,-286682496.0,,,,880964992.0,,37.56,,,,,,0.305,0.08675,-0.32542,-0.88962,AARVEEDEN.NS,AARVEE DEN. & EXP. LTD,Aarvee Denims and Exports Ltd.,95.62,,,,,,none,,1.99,2.2,Buy,Hold,Low Beta (less volatile than the market),Hold,Strong Revenue Growth (>10%),Buy,Trading near its 52-week high (bullish momentum),12,9
2137,2024-12-15 18:31:55,AARVI.NS,Staffing & Employment Services,Industrials,,,,,,,86400.0,2.0,149.43,146.44,144.05,149.3,149.43,146.44,144.05,149.3,2.0,0.0145000005,1721952000.0,0.2789,2.06,0.297,20.242678,,13745.0,13745.0,46951.0,18019.0,18019.0,2145749760.0,112.95,184.25,0.5125849,142.7468,140.0901,,,2086654080.0,0.025409998,2843997.0,14784000.0,,,14816600.0,78.771,1.8425561,-0.213,7.17,,0.03734815,2.0,1721952000.0,NSI,EQUITY,214312000.0,14.458,117092752.0,256388992.0,1.543,2.251,4186135040.0,21.456,282.933,0.037720002,0.092159994,,,-0.214,0.124,0.26378,0.02797,0.026619999,AARVI.NS,AARVI ENCON LIMITED,Aarvi Encon Limited,145.14,,,,,,none,,-2.87,2.1,Buy,Hold,"Low Beta (less volatile than the market)-
 Price-to-Book ratio (<2) indicates potential for growth",Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,15,2
2138,2024-12-15 18:31:55,AAVAS.NS,Mortgage Finance,Financial Services,6075.0,,,,,,86400.0,2.0,1663.85,1663.85,1655.3,1676.2,1663.85,1663.85,1655.3,1676.2,,,,,,0.801,24.836357,18.118912,101175.0,101175.0,146855.0,119390.0,119390.0,132130570240.0,1307.0,1978.95,10.72402,1684.937,1668.1968,,,242314805248.0,0.43280998,57660000.0,79143800.0,0.18764,0.56623,79873904.0,511.572,3.2634704,0.216,67.22,75.04,0.06938112,,,NSI,EQUITY,14149410816.0,178.799,,124793954304.0,236.351,236.351,12320992256.0,308.257,155.694,0.03341,0.14104,,-17657720832.0,0.215,0.133,0.9928,,0.5815,AAVAS.NS,AAVAS FINANCIERS LIMITED,Aavas Financiers Limited,1669.5,2316.0,1487.0,1955.9445,1962.5,1.88889,buy,18.0,0.34,2.1,Buy,Hold,Low Beta (less volatile than the market),Buy,Low Forward P/E (<20) indicates growth potential- Strong Revenue Growth (>10%)- Highly Profitable with margins > 20%,Hold,No strong momentum,13,8
2139,2024-12-15 18:31:55,ABAN.NS,Oil & Gas Drilling,Energy,31.0,,,,,,86400.0,2.0,67.13,67.1,67.1,70.0,67.13,67.1,67.1,70.0,,,1442188800.0,,1.13,0.782,,1.3488836,69583.0,69583.0,100011.0,134607.0,134607.0,3948996352.0,48.75,93.35,0.8187384,66.057,67.17035,,,156588605440.0,-2.53409,29665518.0,58365300.0,0.48494,0.01713,58365300.0,-4090.086,,,-174.75,50.16,0.28848374,3.6,1442188800.0,NSI,EQUITY,435070016.0,7.454,-25012500.0,153078743040.0,,,4823269888.0,,82.645,,,,,,0.291,0.89238,-0.00519,0.27502,ABAN.NS,ABAN OFFSHORE LTD.,Aban Offshore Limited,67.66,,,,,,none,,0.79,2.6,Hold,Hold,Low Beta (less volatile than the market),Buy,Low Forward P/E (<20) indicates growth potential- Strong Revenue Growth (>10%),Hold,No strong momentum,8,1
2140,2024-12-15 18:31:55,ABB.NS,Specialty Industrial Machinery,Industrials,3384.0,7.0,3.0,1.0,8.0,2.0,86400.0,2.0,7703.25,7703.25,7689.3,7943.75,7703.25,7703.25,7689.3,7943.75,34.46,0.0045,1724371200.0,0.4326,0.33,0.73,99.449844,80.93533,340789.0,340789.0,379211.0,264152.0,264152.0,1672028356608.0,4340.3,9149.95,14.437848,7561.898,7570.5645,34.46,0.0044734366,1582365278208.0,0.14523,52281987.0,211908000.0,0.75,0.11048,213811008.0,299.284,26.36409,0.214,79.34,97.17,0.57582235,10.66,1724371200.0,NSI,EQUITY,50092900352.0,236.447,20814125056.0,473400000.0,,,115808698368.0,0.747,546.532,,,,,0.214,0.052,0.40654,0.17973,0.17423001,ABB.NS,ABB INDIA LIMITED,ABB India Limited,7890.35,9050.0,5608.0,7721.1304,7930.0,2.70833,hold,23.0,2.43,1.3,Strong Buy,Hold,Low Beta (less volatile than the market),,,Hold,No strong momentum,22,12
2141,2024-12-15 18:31:55,ABBOTINDIA.NS,Drug Manufacturers - General,Healthcare,3814.0,,,,,,86400.0,2.0,28648.75,28790.0,28190.1,28790.0,28648.75,28790.0,28190.1,28790.0,410.0,0.0143,1721347200.0,0.6782,0.7,0.013,46.73568,39.116207,5693.0,5693.0,10149.0,6664.0,6664.0,600525504512.0,22000.0,30521.0,9.899778,28430.424,27807.213,,,598325460992.0,0.21178,5200227.0,21249300.0,0.75527,0.07959,21256600.0,1657.016,17.049473,0.146,604.49,,0.2576108,410.0,1721347200.0,NSI,EQUITY,11057000448.0,520.337,15006499840.0,605000000.0,1.085,2.247,60660498432.0,1.718,2854.723,0.19217,0.38752997,1107900032.0,10111299584.0,0.146,0.093,0.44891998,0.24739,0.25814,ABBOTINDIA.NS,ABBOTT INDIA LIMITED,Abbott India Limited,28251.25,32700.0,17872.0,28117.143,30000.0,,none,7.0,-1.39,2.0,Buy,Hold,Low Beta (less volatile than the market),Hold,Highly Profitable with margins > 20%,Hold,No strong momentum,11,5
2142,2024-12-15 18:31:55,ABCAPITAL.NS,Financial Conglomerates,Financial Services,55000.0,,,,,,86400.0,2.0,196.71,197.8,195.45,198.95,196.71,197.8,195.45,198.95,,,,,,1.133,13.768908,11.872837,1408878.0,1408878.0,5728311.0,3242786.0,3242786.0,512214761472.0,155.0,246.9,1.7725405,203.1952,214.4034,,,1717156184064.0,0.12946,806193672.0,2605100032.0,0.7596,0.10328,2616229888.0,110.094,1.7859284,0.42,14.28,7.08,0.18571424,,,NSI,EQUITY,29676400640.0,11.385,,1216339247104.0,93.686,120.135,288972111872.0,399.158,111.096,0.01676,0.13519,,-227083796480.0,0.413,0.375,0.27929002,,0.17397,ABCAPITAL.NS,ADITYA BIRLA CAPITAL LTD.,Aditya Birla Capital Limited,196.62,285.0,247.0,266.8889,270.0,,none,9.0,-0.05,2.5,Buy,Hold,"High Beta (more volatile)-
 Price-to-Book ratio (<2) indicates potential for growth",Buy,Low Forward P/E (<20) indicates growth potential- Strong Revenue Growth (>10%),Hold,No strong momentum,9,4
